,delta,t1,tm,dir,sptree
199,0.10888888888888888,23000.0,23000.0,P3 into P2,AB
200,0.20777777777777778,2000.0,1.0,P3 into P2,AB
201,0.20777777777777778,2000.0,223.11111111111111,P3 into P2,AB
202,0.20777777777777778,2000.0,445.22222222222223,P3 into P2,AB
203,0.20777777777777778,2000.0,667.3333333333334,P3 into P2,AB
204,0.20777777777777778,2000.0,889.4444444444445,P3 into P2,AB
205,0.20777777777777778,2000.0,1111.5555555555557,P3 into P2,AB
206,0.20777777777777778,2000.0,1333.6666666666667,P3 into P2,AB
207,0.20777777777777778,2000.0,1555.7777777777778,P3 into P2,AB
208,0.20777777777777778,2000.0,1777.888888888889,P3 into P2,AB
209,0.20777777777777778,2000.0,2000.0,P3 into P2,AB
210,0.20777777777777778,4333.333333333334,1.0,P3 into P2,AB
211,0.20777777777777778,4333.333333333334,482.37037037037044,P3 into P2,AB
212,0.20777777777777778,4333.333333333334,963.7407407407409,P3 into P2,AB
213,0.20777777777777778,4333.333333333334,1445.1111111111113,P3 into P2,AB
214,0.20777777777777778,4333.333333333334,1926.4814814814818,P3 into P2,AB
215,0.20777777777777778,4333.333333333334,2407.851851851852,P3 into P2,AB
216,0.20777777777777778,4333.333333333334,2889.2222222222226,P3 into P2,AB
217,0.20777777777777778,4333.333333333334,3370.592592592593,P3 into P2,AB
218,0.20777777777777778,4333.333333333334,3851.9629629629635,P3 into P2,AB
219,0.20777777777777778,4333.333333333334,4333.333333333334,P3 into P2,AB
220,0.20777777777777778,6666.666666666667,1.0,P3 into P2,AB
221,0.20777777777777778,6666.666666666667,741.6296296296297,P3 into P2,AB
222,0.20777777777777778,6666.666666666667,1482.2592592592594,P3 into P2,AB
223,0.20777777777777778,6666.666666666667,2222.888888888889,P3 into P2,AB
224,0.20777777777777778,6666.666666666667,2963.5185185185187,P3 into P2,AB
225,0.20777777777777778,6666.666666666667,3704.1481481481483,P3 into P2,AB
226,0.20777777777777778,6666.666666666667,4444.777777777778,P3 into P2,AB
227,0.20777777777777778,6666.666666666667,5185.407407407408,P3 into P2,AB
228,0.20777777777777778,6666.666666666667,5926.037037037037,P3 into P2,AB
229,0.20777777777777778,6666.666666666667,6666.666666666667,P3 into P2,AB
230,0.20777777777777778,9000.0,1.0,P3 into P2,AB
231,0.20777777777777778,9000.0,1000.8888888888889,P3 into P2,AB
232,0.20777777777777778,9000.0,2000.7777777777778,P3 into P2,AB
233,0.20777777777777778,9000.0,3000.666666666667,P3 into P2,AB
234,0.20777777777777778,9000.0,4000.5555555555557,P3 into P2,AB
235,0.20777777777777778,9000.0,5000.444444444444,P3 into P2,AB
236,0.20777777777777778,9000.0,6000.333333333334,P3 into P2,AB
237,0.20777777777777778,9000.0,7000.222222222223,P3 into P2,AB
238,0.20777777777777778,9000.0,8000.111111111111,P3 into P2,AB
239,0.20777777777777778,9000.0,9000.0,P3 into P2,AB
240,0.20777777777777778,11333.333333333334,1.0,P3 into P2,AB
241,0.20777777777777778,11333.333333333334,1260.1481481481483,P3 into P2,AB
242,0.20777777777777778,11333.333333333334,2519.2962962962965,P3 into P2,AB
243,0.20777777777777778,11333.333333333334,3778.444444444445,P3 into P2,AB
244,0.20777777777777778,11333.333333333334,5037.592592592593,P3 into P2,AB
245,0.20777777777777778,11333.333333333334,6296.740740740741,P3 into P2,AB
246,0.20777777777777778,11333.333333333334,7555.88888888889,P3 into P2,AB
247,0.20777777777777778,11333.333333333334,8815.037037037038,P3 into P2,AB
248,0.20777777777777778,11333.333333333334,10074.185185185186,P3 into P2,AB
249,0.20777777777777778,11333.333333333334,11333.333333333334,P3 into P2,AB
250,0.20777777777777778,13666.666666666668,1.0,P3 into P2,AB
251,0.20777777777777778,13666.666666666668,1519.4074074074076,P3 into P2,AB
252,0.20777777777777778,13666.666666666668,3037.8148148148152,P3 into P2,AB
253,0.20777777777777778,13666.666666666668,4556.222222222223,P3 into P2,AB
254,0.20777777777777778,13666.666666666668,6074.6296296296305,P3 into P2,AB
255,0.20777777777777778,13666.666666666668,7593.037037037038,P3 into P2,AB
256,0.20777777777777778,13666.666666666668,9111.444444444445,P3 into P2,AB
257,0.20777777777777778,13666.666666666668,10629.851851851854,P3 into P2,AB
258,0.20777777777777778,13666.666666666668,12148.259259259261,P3 into P2,AB
259,0.20777777777777778,13666.666666666668,13666.666666666668,P3 into P2,AB
